,League,Team,Week,Time,Name,PlayerPos,ActivePos,RealScore,ProjScore,PctPlayed
277,729457,11,1,0,Chris Carson,RB,BN,5.9,10.99,39.0
278,729457,11,1,0,Matt Prater,K,K,5.0,9.83,76.0
279,729457,11,1,0,Baltimore,DEF,DEF,17.0,9.12,82.0
280,910981,7,2,0,Philip Rivers,QB,QB,22.74,18.17,69.0
281,910981,7,2,0,Antonio Brown,WR,WR,6.7,16.86,100.0
282,910981,7,2,0,Michael Thomas,WR,WR,18.9,12.76,100.0
283,910981,7,2,0,Jarvis Landry,WR,WR,6.9,9.35,91.0
284,910981,7,2,0,Derrick Henry,RB,RB,5.92,8.23,46.0
285,910981,7,2,0,Austin Ekeler,RB,RB,9.8,7.08,11.0
286,910981,7,2,0,George Kittle,TE,TE,2.2,7.01,62.0
287,910981,7,2,0,Adam Thielen,WR,W/R/T,21.1,9.74,94.0
288,910981,7,2,0,Rex Burkhead,RB,BN,2.2,9.15,27.0
289,910981,7,2,0,Zach Ertz,TE,BN,9.4,8.79,96.0
290,910981,7,2,0,David Njoku,TE,BN,2.0,5.68,42.0
291,910981,7,2,0,Carson Wentz,QB,BN,0.0,0.0,3.0
292,910981,7,2,0,Matt Bryant,K,K,8.0,10.06,90.0
293,910981,7,2,0,Minnesota,DEF,DEF,3.0,6.5,88.0
294,910981,9,2,0,Jimmy Garoppolo,QB,QB,16.64,18.95,48.0
295,910981,9,2,0,Mike Evans,WR,WR,12.3,10.37,97.0
296,910981,9,2,0,Amari Cooper,WR,WR,13.6,9.0,67.0
297,910981,9,2,0,Marvin Jones Jr.,WR,WR,11.4,8.57,61.0
298,910981,9,2,0,Ezekiel Elliott,RB,RB,14.7,16.9,100.0
299,910981,9,2,0,Christian McCaffrey,RB,RB,15.9,14.33,97.0
300,910981,9,2,0,Jonnu Smith,TE,TE,0.0,4.87,12.0
301,910981,9,2,0,James Conner,RB,W/R/T,14.5,15.08,93.0
302,910981,9,2,0,Matt Ryan,QB,BN,31.68,17.37,25.0
303,910981,9,2,0,Dion Lewis,RB,BN,4.3,8.81,62.0
304,910981,9,2,0,Bilal Powell,RB,BN,14.0,8.65,17.0
305,910981,9,2,0,Nelson Agholor,WR,BN,15.0,9.25,59.0
306,910981,9,2,0,Harrison Butker,K,K,6.0,9.85,75.0
